Component,Cost in CAD,Source
Bearings 30x,$22.31,https://www.amazon.ca/Fafeicy-10x15x4mm-Shielded-Precision-Applications/dp/B0GK24M3W8?crid=1D280H9XYV18S&dib=eyJ2IjoiMSJ9.XziN-s2wfaTRXVHXKIU8aEkAc-qMjSYrEvij48YcByp3saJOK8tFmb9jbR5E4DcqHOj62pmw9wqt6JQ2KKjuemc-oNpi5HBqM5Bw5Kw7Cz_35_6oK3YAx-4UIrEJOKwW3IgGCvs45PV0Uwp6JESVErrKhf06jSEsDJTq7w3shwaI0_KbUluD0vmQjTK-bbasTA5fDM5Iv4JG4hDVoNDP_PkA4KFSCisHYOwq_fEPZrWpEFrf-au1CL7ZVol9kfMpS8tJdBHGyYcHHyWIt5KF6y3dmEEh9TKbPxUkkCIn2rQ.gFaqQHCZyGA-_caNYIR1NYDVSQCkv40MaFz1AbVcSEI&dib_tag=se&keywords=6700zz+bearings&qid=1780548016&sprefix=6700zz+bearings%2Caps%2C174&sr=8-15
Brass insert,$10.99,https://www.amazon.ca/HANGLIFE-Heat-Set-Threaded-Printing-Components/dp/B0CS6YVJYD?crid=33AXYRRLVZX8N&dib=eyJ2IjoiMSJ9.RCdDSiosiHGHNy0hd2mwSCHFuHK2jfatWnnAP8eQeDlHBcRoOhEYX9pu_ok4HJsev-IZwh9pK32MuvQY4WY4YAWkO9n2SyLgnOH-hKZB9MZ6IeD0MYqk9Vay0ixtRPcX9RnZkjR-H_5jBA5rFVyVdVup-nHy_wBvWb-_odyLIjBKALTRI59MAc2cSb-DH4jkqxiBu-INH_lbxh87BhWlBL_6dkJZMVL5ZyXxjCqZ-XPTsiAi_xyd6q3ERDlZzSRmzgcVlw9EOjqOF8hPJtlct6cxAa4eJw9K1btpfSil5H8.Gz0-TsJPH2CvGP_yset1104aeUTNzkClioGdncmlw_c&dib_tag=se&keywords=m2.5%2Bbrass%2Binsert&qid=1780547816&sprefix=m2%2B5%2Bbrass%2Binsert%2Caps%2C166&sr=8-5&th=1
TPU filiment,$25.99,https://www.amazon.ca/ELEGOO-Filament-Flexible-Printing-Dimensional/dp/B0DWSDWTW5?crid=3CWZX4H8JWHR7&dib=eyJ2IjoiMSJ9.SSpoPojvN_f9syNylUeDIoRnD3fUWQda4lfiNNpahHvYd7txkgVaDsUFWTlPSoLosE7zTqPrJ0B1iP8GK58kEYt6uFZGh1nsP3PLhL3OgBISPwqAr7Augo8ssYxrlHz1DflxzfDWahPbDfKH31oX3tkm69i01qJ3zrdufp9hHc6SN9yve0wndgh6xQSWtDlf7OKbP9FaZqkLQsJvoGKcoNwPvsaS3HjZyeBDVidtGvkmP4z_X_sXHmF1Cm0MjxCwQlFTcWXw80E-iG0evBTmfpU-z6c0xmT3i-vn09lXf8o.us0JJpQGaDbqEtvL9TplKxkiXJcYlpTd7hMgFkSRR3o&dib_tag=se&keywords=TPU&qid=1780547611&sprefix=tpu%2Caps%2C158&sr=8-9&th=1
PETG,$20.99,https://www.amazon.ca/ELEGOO-Filament-Printing-Dimensional-Cardboard/dp/B0CMC8CDFN/ref=sr_1_1_sspa?crid=75S9VC5EDU2S&dib=eyJ2IjoiMSJ9.FZpdlZRl53QYnBrhEgShO6IJJOHC0Q36KXYkvrwQV1-3kGnCu_0qx0273wSEjDWrUcXy9xq99lPfFexqu_3yzFz2xWgLlOYavmcIxpPogKA_MGv74jDMuUteO6nJRyEkp9M9KKxz_BdGGXpW8zD_ZJfLfPWpZIOkuVTIvLHLOEhl-MU-d1Hjsl9Gzdt5HTitz2__WeX94Nq3qL7Ghu3u6xnuvgLasutVFxDziUFXLHIdvBq7Xn9gehsiNJi3QCCBZvJGAMq6AwPvtO7zzkzMYeMExMk_-AOBOZHGctTT9Xw.SoVttUosmandpmK2Q2tnX2cT6yTImLlhYSh8QgXfdaw&dib_tag=se&keywords=PETG&qid=1781219342&sprefix=petg%2Caps%2C129&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
Game Pad,$33.29,https://www.amazon.ca/8Bitdo-Ultimate-Controller-Joysticks-Remappable/dp/B0D72TNXSC/ref=sr_1_1_sspa?crid=2NGHXH32ATYZW&dib=eyJ2IjoiMSJ9.TwYJSBRW3TtAaZzbtW9X1bF0b6qqizg1lawcXFg9IScd4GR24LXFDr8iDXxDg85AHZBs28_1pqC_tGwSpacJqknbLwvW2FwbKtTGcXEmHYMJn0-e_8LWDRHFNlCKoUqh_qvBDrkJRvJLkvSZnCtLMPlyxh9CoQ2ukDcwgwKTnDX0gSTFwEJYw4OqjeIxZOacRQ2Z77kYh-367tNio9ufliy0GCAkD4FzcA-PtQ8oZ4RfdUl8rcLi6dyRMYWLN_ABT3hJ8Lud48GQ6fKeHNaNw7beXIXQaXm8SSDpXyE8rBM.4k86GCww1ornAA4gWoY-9SQM59dJNYPcBIS2OZbUO5Y&dib_tag=se&keywords=8bitdo%2Bultimate%2B2c&qid=1780864333&sprefix=8bitdo%2Bultimate%2B%2Caps%2C154&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
Buck Convert,$4.99,https://www.amazon.ca/CANADUINO-DC-DC-Converter-Output-Terminals/dp/B07B2L1CDT/ref=sr_1_46?crid=1KY0DNBIGHPH5&dib=eyJ2IjoiMSJ9.-kz9h1xPHDFmcRSAiTqMMu8p2JCtuvFBieIag_HMan5CF5x0hrMFTzd_2I9frAzBAav62KjVKnIQukDzxgBWrWopEtdL6DsAuQlVWXNoSOL9alJOETqt3yVxuhHmlWNyehh3j61VjpV3C3sDCFwffJ8A6kSh0qkauMZvHv13XVMLCwKcs_gjBn0RUYAZiasQUDT_p_HE73O0n5l0issMHW8OFkLPvytNmzkQWVUQO5dbeaTcfeldBmjSY2Ax--9dEoBgljUu_LK3BMNuVpG0zLZI0AXo6ao0tusWpaQltuk.uhxR6lOLNHhe4wLJEvvpSs7VcqzqjjZd8rhO5G9sac0&dib_tag=se&keywords=5A+5V+buck+converter&qid=1780864930&sprefix=5a+5v+buck+converter%2Caps%2C291&sr=8-46
Raspberry Pi 4,$100.23,https://www.amazon.ca/Raspberry-Model-2019-Quad-Bluetooth/dp/B07TD42S27?crid=8Y29JQAEJE8K&dib=eyJ2IjoiMSJ9.QRXEUDRW00E-rdZX-6qCx7D-UYvkzTu6woUq2Mv2fseOtc3LhAVXcfRaa4hXS6x7OKcE4ka4DCrlr3cDyOGrebNKI2-2Bzs_aAu20RcJ3pcHP0LyfAiR2YlRiVA7CabScr9wuiaQFnZvf_6SbwutphbOC_QqAKFZyAWGDEGq7AYWoaXXWw7JktmLh3a6yNYvIO8T0fpkcKol8aUQhrTjXXiju1wcOkm5AI1IHwChRTVGNJWhOhm6EqeBDsvJRQOcOsLMxlYM3A1pLtji78iFTXxa0dcBLVTj5diS4V-2YRM.ucgJnQZ6KnSRsOm9hEQzmvOpWLjg2jccqEkpK1K6dEc&dib_tag=se&keywords=raspi%2B4&qid=1781143016&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=raspi%2B%2Caps%2C140&sr=8-5&th=1
Ugreen 67w,$57.84,https://www.walmart.com/ip/ugreen-65W-20000mAh-Portable-Power-Pack-with-1-USB-C-cable-1-USB-C-port-1-USB-A-port/17498716367
USB-C adapt,$15.00,https://www.amazon.ca/CERRXIAN-USB-5-5mm-2-1mm-Replacement/dp/B0DLKSWKN7/ref=sr_1_10?crid=1IHI71FHC82AI&dib=eyJ2IjoiMSJ9.7znB8m2a0cPoYEoQRkrCzR-Mi6l8ssYtorAKfLVg_UfXDPzGUY93Fiaju2STkI36aTC6G-T8TSRg2txaP5njLcZzN1TvwGcv69NxkjodfwOjk8yzXeorBpWxopjM9oLmeSXSmM3kU15DEQ_zvGJxgAl1-pNQzj4_kuMR9bc8vBGnKYKPMUR8cRTVk2w760g_I8bI6AvEWO1x9dVqGSzFtSf_MuodkTeki7dt-IO1d5egNihdiYNSr5zzWtZDowFocmUJdGfGIB0wk8oBISpRiEwY7S6jRFhjAUC2cKCqq8E.-8OWedQktCNhWkI56CCKc3RSlzuKFlAwJEJiaKQpDbs&dib_tag=se&keywords=usbc+to+2.1+x+5.5+mm+jack&qid=1781219441&sprefix=usbc+to+2+1+x+5+5+mm+jac%2Caps%2C135&sr=8-10
LED matrix,$39.15,https://www.amazon.ca/Waveshare-Full-Color-Adjustable-Brightness-Compatible/dp/B0BQYDLHY9/ref=sr_1_3?crid=3TUD4F8PJOIBE&dib=eyJ2IjoiMSJ9.kJZivYyK0l36SCx6PufCkZ23XqjqjuhoDwxQJ3g895QhSncqs7kE-2fIyPt1s7OAq8UKMemro8W43o6trG02QzZTAAjJsY48U3S6wmeEgj4t_FKUgdtRXUlvDaKzf6UlTgbo21k5TOW5I9OQ3p8kVfMq9auPHm7lFlDlcSnx2_7T6-UposyOxkkVpO9GQf6Z1NBFtzQp89W66QcGsrE5R9YXYJA8-MkBBU8cNdQJFq5GrbTbKU74IkdHOzZkefJ2H6b2l__ZW6HQYmcTzaUNfKnPgWCuPmzIuZmxypPqv0U.RW3DV6JU8bLdGgJRcbWj7xxY-jNKF-rQHF9trJq1X2c&dib_tag=se&keywords=led%2Bmatrix%2Bdisplay%2Braspberry%2Bpi&qid=1781156768&s=electronics&sprefix=led%2Bmatrix%2Celectronics%2C127&sr=1-3&th=1
8-32 inserts,$10.69,https://www.amazon.ca/Threaded-American-Standard-Hardware-Components/dp/B0DS653YLX/ref=sr_1_1_sspa?crid=3P5965J0QMUBI&dib=eyJ2IjoiMSJ9.nFH_4D4ySHbVx0397hwu9DOHpFkEz524F4Rwvh0Cyc5xgRvnStxHnkGrQVBYZyzW4xqlRGDpjkwyFzk6q_TNWOl7h9l0Dd6fe-EcB6ZUTuxgzOfAaroB0yVw21DRD3FOkMIVhup0FqEoigdJi0A0osVzyDl1KOH7y6KPBwFEFfNlv0emCyiiMBLS6e_w0nKTNymApqiK-Qu6Hywd5dZwkLEDmW4v-JL0sVSFrrr9bIUJv71HKAx-d2YNqXGvetENlMPjrXxbe8fCzRoj6TUWPGoxLPaJQJq7wVdtiAGgzWE.h1c3kO5NMWtN4tzpTefaI5eHsSPvlmmnxF8RMw5KJtU&dib_tag=se&keywords=brass%2Binserts%2B8-32&qid=1781226024&sprefix=brass%2Binserts%2B8-32%2Caps%2C152&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
Matrix Bonnet,$17.43,https://shop.pimoroni.com/products/adafruit-triple-led-matrix-bonnet-for-raspberry-pi-for-hub75?variant=56082163663227
8-32 Screws,$17.00,https://www.amazon.ca/NIULUNBAO-Stainless-Machine-Threaded-Assortment/dp/B0DMV2WB4X/ref=sr_1_4_sspa?dib=eyJ2IjoiMSJ9.X-G1swFkpauDlOzZYJSAAT1YKpgNpKuJwXEhqoLH9txH_BYKdhMOL8z0D_3AOBvDt6ElyE20Ds5x2u6U6tgPnqgVqeqPCk6o8fhifQkPkKf5loagH3ZVzlAFbG-xbE6YJy8gbLyq52NGiIVnFseJHd5ILhzKR0V7TWRl5DdGrbuWALDY0stJT_fs9ub5q2GUndkDgLhVJANsuMU2nkFlP-G3rkWSLBIi59JqYgdsyB7BGy2atkVvrY5sWcDFq3Mt3kfy3TGLsMIqZwbS5oICOpPgSgYSFzYZ1dEtKwoHAds.d3TYMoWv6fTXH0uEtytJ--31w0J1K9mucuA-dt6uMac&dib_tag=se&gad_source=1&hvadid=684853968701&hvdev=c&hvexpln=0&hvlocphy=9001328&hvnetw=g&hvocijid=6330984024175934143--&hvqmt=e&hvrand=6330984024175934143&hvtargid=kwd-351177065967&hydadcr=11270_13489645&keywords=8-32%2Bbutton%2Bhead&mcid=df0f2e83d2f33efaacc09bca9b7a5b52&qid=1781219253&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
